 a3_reports                        | tenant_id                  | tenants                           | NO ACTION
 activity                          | assigned_to_id             | user                              | NO ACTION
 activity                          | project_id                 | project                           | NO ACTION
 activity_tracks                   | activity_id                | process_activities                | CASCADE
 activity_tracks                   | user_id                    | users                             | NO ACTION
 alt_strateji                      | ana_strateji_id            | ana_strateji                      | NO ACTION
 ana_strateji                      | tenant_id                  | tenants                           | NO ACTION
 audit_log                         | user_id                    | user                              | NO ACTION
 audit_logs                        | user_id                    | users                             | NO ACTION
 blue_ocean_canvases               | tenant_id                  | tenants                           | CASCADE
 blue_ocean_errc_items             | canvas_id                  | blue_ocean_canvases               | CASCADE
 blue_ocean_factors                | canvas_id                  | blue_ocean_canvases               | CASCADE
 bottleneck_log                    | kpi_id                     | process_kpis                      | NO ACTION
 bottleneck_log                    | process_id                 | processes                         | NO ACTION
 bottleneck_log                    | tenant_id                  | tenants                           | NO ACTION
 bsc_kpi_perspectives              | plan_year_id               | plan_years                        | CASCADE
 bsc_kpi_perspectives              | process_kpi_id             | process_kpis                      | CASCADE
 bsc_kpi_perspectives              | tenant_id                  | tenants                           | CASCADE
 capacity_plan                     | project_id                 | project                           | CASCADE
 capacity_plan                     | user_id                    | users                             | SET NULL
 card_data_sources                 | card_id                    | system_cards                      | CASCADE
 competitor_analyses               | plan_year_id               | plan_years                        | SET NULL
 competitor_analyses               | tenant_id                  | tenants                           | NO ACTION
 corporate_identity                | tenant_id                  | tenants                           | NO ACTION
 dashboard_layout                  | user_id                    | user                              | NO ACTION
 deger                             | tenant_id                  | tenants                           | NO ACTION
 esg_metric_values                 | metric_id                  | esg_metrics                       | CASCADE
 esg_metric_values                 | user_id                    | users                             | SET NULL
 esg_metrics                       | tenant_id                  | tenants                           | CASCADE
 etik_kural                        | tenant_id                  | tenants                           | NO ACTION
 evm_snapshots                     | project_id                 | project                           | NO ACTION
 evm_snapshots                     | tenant_id                  | tenants                           | NO ACTION
 favorite_kpis                     | process_kpi_id             | process_kpis                      | CASCADE
 favorite_kpis                     | user_id                    | users                             | CASCADE
 feedback                          | user_id                    | user                              | NO ACTION
 individual_activities             | source_process_activity_id | process_activities                | SET NULL
