Kart Başlığı;Boy;Önerilen MODÜL;modul_code;Önerilen BİLEŞEN (sayfa/sekme);DB Kart?;URL
Yönetici Sabah Özeti;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Kurumsal Olgunluk Endeksi;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Bugünün özeti;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Benim Görevlerim;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Favori ve Son Ziyaretlerim;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Hızlı İşlemler;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Takvimim;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Benim Masam;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Dikkat!: Hazirran Verisi;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Karalama Defteri;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Özet Listeler;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Bildirimler;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Stratejik Hedefler;Tam Boy Kart;Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Minir Kartlar;Mini Boy Kart (1/4 Kart Boyutu);Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Bireysel PG;Mini Boy Kart (1/4 Kart Boyutu);Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Devam Eden Faaliyet;Mini Boy Kart (1/4 Kart Boyutu);Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Süreç PG;Mini Boy Kart (1/4 Kart Boyutu);Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Okunmamış Bildirim;Mini Boy Kart (1/4 Kart Boyutu);Masaüstü*;(masaustu);/masaustu;;https://demo.kokpitim.com/masaustu
Ana Strateji;Mini Boy Kart (1/4 Kart Boyutu);Stratejik Planlama;stratejik_planlama_modulu;/sp;;https://demo.kokpitim.com/sp
Akış Olgunluğu;Mini Boy Kart (1/4 Kart Boyutu);Stratejik Planlama;stratejik_planlama_modulu;/sp;;https://demo.kokpitim.com/sp
K-Vektör Vizyon;Mini Boy Kart (1/4 Kart Boyutu);Stratejik Planlama;stratejik_planlama_modulu;/sp;;https://demo.kokpitim.com/sp
