tenant_id,yil,yil_durum,surec,kpi_id,pg,durum,etkin_hedef,config_hedef,snapshot_hedef,temel_hedef,cakisma,config_var,is_included,birim,periyot
16,2020,draft,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,320,Yönetim Kurulu Bilgilendirme Takvimine Uyum Oranı (Nakit Akış Tablosu Sunum ),FALLBACK,100,,,100,,,,%,Çeyreklik
16,2021,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,320,Yönetim Kurulu Bilgilendirme Takvimine Uyum Oranı (Nakit Akış Tablosu Sunum ),FALLBACK,100,,,100,,,,%,Çeyreklik
16,2022,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,320,Yönetim Kurulu Bilgilendirme Takvimine Uyum Oranı (Nakit Akış Tablosu Sunum ),FALLBACK,100,,,100,,,,%,Çeyreklik
16,2023,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,320,Yönetim Kurulu Bilgilendirme Takvimine Uyum Oranı (Nakit Akış Tablosu Sunum ),FALLBACK,100,,,100,,,,%,Çeyreklik
16,2024,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,320,Yönetim Kurulu Bilgilendirme Takvimine Uyum Oranı (Nakit Akış Tablosu Sunum ),FALLBACK,100,,,100,,,,%,Çeyreklik
16,2025,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,320,Yönetim Kurulu Bilgilendirme Takvimine Uyum Oranı (Nakit Akış Tablosu Sunum ),FALLBACK,100,,,100,,,,%,Çeyreklik
16,2026,active,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,320,Yönetim Kurulu Bilgilendirme Takvimine Uyum Oranı (Nakit Akış Tablosu Sunum ),FALLBACK,100,,,100,,,,%,Çeyreklik
16,2020,draft,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,318,Yönetim Kurulu Karar Sayısı,FALLBACK,-,,,-,,,,sayı,Yıllık
16,2021,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,318,Yönetim Kurulu Karar Sayısı,FALLBACK,-,,,-,,,,sayı,Yıllık
16,2022,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,318,Yönetim Kurulu Karar Sayısı,SNAPSHOT,-,,-,-,,,,sayı,Yıllık
16,2023,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,318,Yönetim Kurulu Karar Sayısı,SNAPSHOT,-,,-,-,,,,sayı,Yıllık
16,2024,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,318,Yönetim Kurulu Karar Sayısı,SNAPSHOT,-,,-,-,,,,sayı,Yıllık
16,2025,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,318,Yönetim Kurulu Karar Sayısı,SNAPSHOT,-,,-,-,,,,sayı,Yıllık
16,2026,active,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,318,Yönetim Kurulu Karar Sayısı,FALLBACK,-,,,-,,,,sayı,Yıllık
16,2020,draft,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,319,Yönetim Kurulu Üyeleri İle Yapılan Görüşme Sayısı (Görüş Almak için Ziyaret Sayısı),FALLBACK,-,,,-,,,,sayı,Yıllık
16,2021,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,319,Yönetim Kurulu Üyeleri İle Yapılan Görüşme Sayısı (Görüş Almak için Ziyaret Sayısı),FALLBACK,-,,,-,,,,sayı,Yıllık
16,2022,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,319,Yönetim Kurulu Üyeleri İle Yapılan Görüşme Sayısı (Görüş Almak için Ziyaret Sayısı),FALLBACK,-,,,-,,,,sayı,Yıllık
16,2023,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,319,Yönetim Kurulu Üyeleri İle Yapılan Görüşme Sayısı (Görüş Almak için Ziyaret Sayısı),FALLBACK,-,,,-,,,,sayı,Yıllık
16,2024,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,319,Yönetim Kurulu Üyeleri İle Yapılan Görüşme Sayısı (Görüş Almak için Ziyaret Sayısı),FALLBACK,-,,,-,,,,sayı,Yıllık
16,2025,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,319,Yönetim Kurulu Üyeleri İle Yapılan Görüşme Sayısı (Görüş Almak için Ziyaret Sayısı),FALLBACK,-,,,-,,,,sayı,Yıllık
16,2026,active,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,319,Yönetim Kurulu Üyeleri İle Yapılan Görüşme Sayısı (Görüş Almak için Ziyaret Sayısı),FALLBACK,-,,,-,,,,sayı,Yıllık
16,2020,draft,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,FALLBACK,100,,,100,,,,%,Yıllık
16,2021,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,SNAPSHOT,100,,100,100,,,,%,Yıllık
16,2022,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,SNAPSHOT,100,,100,100,,,,%,Yıllık
16,2023,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,SNAPSHOT,100,,100,100,,,,%,Yıllık
16,2024,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,SNAPSHOT,100,,100,100,,,,%,Yıllık
16,2025,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,SNAPSHOT,100,,100,100,,,,%,Yıllık
16,2026,active,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,FALLBACK,100,,,100,,,,%,Yıllık
16,2020,draft,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,FALLBACK,%90-100,,,%90-100,,,,%,Yıllık
16,2021,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
16,2022,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
16,2023,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
16,2024,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
16,2025,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
